Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2017-01-01,2017-01-07,3,Allertova D.,Safarova L.,91.0,62.0,1-6,2-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Lottner A.,Nara K.,180.0,76.0,2-6,2-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Stefkova B.,Strycova B.,171.0,20.0,4-6,3-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Williams S.,Parmentier P.,2.0,69.0,6-3,6-4,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Barthel M.,Lucic-Baroni M.,157.0,79.0,3-6,6-3,3-6,Completed
ASB Classic,2017-01-01,2017-01-07,3,Osaka N.,Beck A.,48.0,51.0,6-2,6-4,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Bertens K.,Davis L.,22.0,61.0,6-7,4-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Ostapenko J.,Erakovic M.,44.0,105.0,6-1,6-2,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Brengle M.,Loeb J.,72.0,188.0,6-4,7-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Larsson J.,Wickmayer Y.,50.0,58.0,1-6,2-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Gibbs N.,Wozniacki C.,88.0,19.0,1-6,0-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Rodionova Ar.,Lepchenko V.,187.0,89.0,3-6,4-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Konjuh A.,Flipkens K.,47.0,64.0,6-4,3-6,6-3,Completed
ASB Classic,2017-01-01,2017-01-07,3,Williams V.,Lewis J.,17.0,1099.0,7-6,6-2,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Kovinic D.,Broady N.,70.0,90.0,6-7,3-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Pavlyuchenkova A.,Goerges J.,27.0,53.0,3-6,4-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Strycova B.,Safarova L.,20.0,62.0,7-5,3-6,7-6,Completed
ASB Classic,2017-01-01,2017-01-07,3,Davis L.,Nara K.,61.0,76.0,6-3,6-3,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Lucic-Baroni M.,Ostapenko J.,79.0,44.0,2-6,6-7,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Williams S.,Brengle M.,2.0,72.0,4-6,7-6,4-6,Completed
ASB Classic,2017-01-01,2017-01-07,3,Broady N.,Goerges J.,90.0,53.0,5-7,4-6,,Completed
ASB Classic,2017-01-01,2017-01-07,3,Wickmayer Y.,Konjuh A.,58.0,47.0,1-6,2-6,,Completed
