rank,artist_names,track_name,label,peak_rank
1,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1
2,Harry Styles,As It Was,Columbia,1
3,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2
4,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4
5,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,1
6,ROSALÍA,DESPECHÁ,Columbia,6
7,Bad Bunny,Efecto,Rimas Entertainment LLC,7
8,Joji,Glimpse of Us,88rising Music/Warner Records,1
9,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,3
10,Steve Lacy,Bad Habit,L-M Records/RCA Records,10
11,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2
12,Glass Animals,Heat Waves,Polydor Records,1
13,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,13
14,KAROL G,PROVENZA,UMLE - Latino,6
15,"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),Friends Keep Secrets/Interscope Records,15
16,OneRepublic,I Ain't Worried,Interscope Records,13
17,"Charlie Puth, BTS, Jung Kook",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,7
18,Central Cee,Doja,Central Cee,15
19,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,12
20,Lizzo,About Damn Time,Nice Life/Atlantic,9
21,"DJ Khaled, Drake, Lil Baby",STAYING ALIVE (feat. Drake & Lil Baby),Epic/We The Best,21
22,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1
23,"Bad Bunny, Jhay Cortez",Tarot,Rimas Entertainment LLC,9
24,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,4
25,"Shakira, Rauw Alejandro",Te Felicito,Sony Music Latin,13
26,Rosa Linn,SNAP,Columbia,26
27,Harry Styles,Late Night Talking,Columbia,2
28,"Bad Bunny, Rauw Alejandro",Party,Rimas Entertainment LLC,6
29,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,10
30,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,5
31,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,7
32,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,32
33,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,28
34,The Neighbourhood,Sweater Weather,Columbia,29
35,The Weeknd,Blinding Lights,Republic Records,1
36,"James Hype, Miggy Dela Rosa",Ferrari,Universal-Island Records Ltd.,36
37,Justin Bieber,Ghost,RBMG/Def Jam,11
38,"Bad Bunny, Tony Dize",La Corriente,Rimas Entertainment LLC,17
39,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,2
40,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,26
41,The Weeknd,Die For You,Universal Republic Records,41
42,Stephen Sanchez,Until I Found You,Republic Records,30
43,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,11
44,Jack Harlow,First Class,Generation Now/Atlantic,2
45,Tom Odell,Another Love,ITNO/Columbia,29
46,Cris Mj,Una Noche en Medellín,Nabru Records LLC,9
47,"Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",Sony Music Entertainment India Pvt. Ltd.,33
48,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,7
49,Ruth B.,Dandelions,Columbia,34
50,Ed Sheeran,Shivers,Atlantic Records UK,4
51,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,18
52,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3
53,Rels B,cómo dormiste?,Flakk Team / DALE PLAY Records,53
54,Harry Styles,Watermelon Sugar,Columbia,4
55,"Becky G, KAROL G",MAMIII,Kemosabe Records/RCA Records,5
56,Doja Cat,Woman,Kemosabe Records/RCA Records,6
57,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,2
58,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",DALE PLAY Records,45
59,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),UMLE - Latino,53
60,Beyoncé,ALIEN SUPERSTAR,Parkwood Entertainment/Columbia,24
61,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,8
62,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,10
63,Bad Bunny,Un Ratito,Rimas Entertainment LLC,10
64,Arctic Monkeys,505,Domino Recording Co,53
65,Duki,GIVENCHY,DALE PLAY Records / SSJ Records,25
66,Bad Bunny,Neverita,Rimas Entertainment LLC,15
67,Imagine Dragons,Bones,Kid Ina Korner / Interscope,56
68,Farruko,Pepas,Sony Music Latin,4
69,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7
70,Ed Sheeran,Bad Habits,Atlantic Records UK,3
71,The Weeknd,Save Your Tears,Republic Records,2
72,The Weeknd,Call Out My Name,Universal Republic Records,1
73,Taylor Swift,august,Taylor Swift,11
74,Feid,Normal,UMLE - Latino,57
75,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,30
76,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,17
