rank,artist_names,track_name,label,peak_rank,weeks_on_chart,streams
1,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,5,49200772
2,Harry Styles,As It Was,Columbia,1,19,39156789
3,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,14,36028246
4,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,14,32101875
5,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,1,11,30032752
6,ROSALÍA,DESPECHÁ,Columbia,6,2,28107868
7,Bad Bunny,Efecto,Rimas Entertainment LLC,7,14,26359490
8,Joji,Glimpse of Us,88rising Music/Warner Records,1,9,25333978
9,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,3,14,23486675
10,Steve Lacy,Bad Habit,L-M Records/RCA Records,10,5,21288974
11,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,14,20845139
12,Glass Animals,Heat Waves,Polydor Records,1,85,20321676
13,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,13,6,20180692
14,KAROL G,PROVENZA,UMLE - Latino,6,16,19745401
15,"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),Friends Keep Secrets/Interscope Records,15,1,19500644
16,OneRepublic,I Ain't Worried,Interscope Records,13,10,19361468
17,"Charlie Puth, BTS, Jung Kook",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,7,7,18378990
18,Central Cee,Doja,Central Cee,15,3,17262833
19,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,12,8,16262031
20,Lizzo,About Damn Time,Nice Life/Atlantic,9,15,15991437
21,"DJ Khaled, Drake, Lil Baby",STAYING ALIVE (feat. Drake & Lil Baby),Epic/We The Best,21,1,15991390
22,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,57,15847791
23,"Bad Bunny, Jhay Cortez",Tarot,Rimas Entertainment LLC,9,14,15746632
24,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,4,52,15351197
25,"Shakira, Rauw Alejandro",Te Felicito,Sony Music Latin,13,16,15230719
26,Rosa Linn,SNAP,Columbia,26,5,15219493
27,Harry Styles,Late Night Talking,Columbia,2,12,14395673
28,"Bad Bunny, Rauw Alejandro",Party,Rimas Entertainment LLC,6,14,14346290
29,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,10,10,14133871
30,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,5,23,14016418
31,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,7,8,13188576
32,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,32,3,13145783
33,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,28,14,13141161
34,The Neighbourhood,Sweater Weather,Columbia,29,102,12617763
35,The Weeknd,Blinding Lights,Republic Records,1,141,12478897
36,"James Hype, Miggy Dela Rosa",Ferrari,Universal-Island Records Ltd.,36,10,12308447
37,Justin Bieber,Ghost,RBMG/Def Jam,11,47,12221064
38,"Bad Bunny, Tony Dize",La Corriente,Rimas Entertainment LLC,17,14,12129312
39,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,2,83,11931800
40,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,26,10,11912237
41,The Weeknd,Die For You,Universal Republic Records,41,26,11891349
42,Stephen Sanchez,Until I Found You,Republic Records,30,14,11831698
43,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,11,33,11830078
44,Jack Harlow,First Class,Generation Now/Atlantic,2,18,11457282
45,Tom Odell,Another Love,ITNO/Columbia,29,70,11450164
46,Cris Mj,Una Noche en Medellín,Nabru Records LLC,9,24,11162073
47,"Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",Sony Music Entertainment India Pvt. Ltd.,33,4,10934301
48,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,7,14,10923650
49,Ruth B.,Dandelions,Columbia,34,52,10619440
50,Ed Sheeran,Shivers,Atlantic Records UK,4,48,10503440
51,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,18,49,10335236
52,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3,41,10308783
53,Rels B,cómo dormiste?,Flakk Team / DALE PLAY Records,53,1,10281063
54,Harry Styles,Watermelon Sugar,Columbia,4,143,10151357
55,"Becky G, KAROL G",MAMIII,Kemosabe Records/RCA Records,5,26,10068643
56,Doja Cat,Woman,Kemosabe Records/RCA Records,6,57,9962459
57,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,2,55,9953225
58,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",DALE PLAY Records,45,9,9914713
59,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),UMLE - Latino,53,12,9852778
60,Beyoncé,ALIEN SUPERSTAR,Parkwood Entertainment/Columbia,24,2,9783137
61,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,8,35,9744918
62,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,10,15,9711610
63,Bad Bunny,Un Ratito,Rimas Entertainment LLC,10,14,9575383
64,Arctic Monkeys,505,Domino Recording Co,53,32,9519191
65,Duki,GIVENCHY,DALE PLAY Records / SSJ Records,25,3,9461003
66,Bad Bunny,Neverita,Rimas Entertainment LLC,15,14,9451345
67,Imagine Dragons,Bones,Kid Ina Korner / Interscope,56,22,9450263
68,Farruko,Pepas,Sony Music Latin,4,57,9350115
69,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,64,9281360
70,Ed Sheeran,Bad Habits,Atlantic Records UK,3,59,9265717
71,The Weeknd,Save Your Tears,Republic Records,2,88,9171526
72,The Weeknd,Call Out My Name,Universal Republic Records,1,42,9146278
73,Taylor Swift,august,Taylor Swift,11,7,8909277
74,Feid,Normal,UMLE - Latino,57,5,8893400
75,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,30,2,8888679
76,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,17,10,8862256
77,"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,Sony Music Entertainment Chile S.A,44,8,8780992
78,Yung Gravy,Betty (Get Money),Republic Records,78,5,8677103
79,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,65,8671686
80,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,12,45,8618810
81,Lasso,Ojos Marrones,Universal Music Mexico,72,6,8609674
