,artist_names,track_name,weeks_on_chart,streams
0,Arctic Monkeys,505,32,9519191
1,Beyoncé,ALIEN SUPERSTAR,2,9783137
2,Lizzo,About Damn Time,15,15991437
3,LF SYSTEM,Afraid To Feel,5,6593566
4,Mr.Kitty,After Dark,17,7229855
5,Bad Bunny,Aguacero,14,6815810
6,"Bad Bunny, Buscabulla",Andrea,14,8374559
7,Troye Sivan,Angel Baby,19,5896219
8,Tom Odell,Another Love,70,11450164
9,Cigarettes After Sex,Apocalypse,5,6795003
10,Harry Styles,As It Was,19,39156789
11,Seafret,Atlantis,3,6880176
12,Beyoncé,BREAK MY SOUL,8,16262031
13,"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),1,19500644
14,Steve Lacy,Bad Habit,5,21288974
15,Ed Sheeran,Bad Habits,59,9265717
16,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),23,14016418
17,Måneskin,Beggin',62,6102045
18,Imagine Dragons,Believer,288,7522714
19,"Imanbek, BYOR",Belly Dancer,11,8224170
20,Yung Gravy,Betty (Get Money),5,8677103
21,Taylor Swift,Blank Space,40,6904265
22,The Weeknd,Blinding Lights,141,12478897
23,Queen,Bohemian Rhapsody - Remastered 2011,202,6720386
24,Imagine Dragons,Bones,22,9450263
25,Dove Cameron,Boyfriend,26,6097973
26,Beyoncé,CUFF IT,2,8888679
27,The Weeknd,Call Out My Name,42,9146278
28,"Bad Bunny, Tainy",Callaita,67,6706621
29,Rema,Calm Down,5,6823620
30,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),33,6074114
31,Post Malone,Circles,154,6800947
32,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,52,15351197
33,Sofia Carson,Come Back Home,1,5794883
34,"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),13,6279210
35,OneRepublic,Counting Stars,74,6566460
36,"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,14,6671686
37,ROSALÍA,DESPECHÁ,2,28107868
38,Ruth B.,Dandelions,52,10619440
39,Steve Lacy,Dark Red,53,7126272
40,Imagine Dragons,Demons,2,5754675
41,"Rauw Alejandro, Chencho Corleone",Desesperados,35,9744918
42,Bad Bunny,Después de la Playa,14,10923650
43,The Weeknd,Die For You,26,11891349
44,Arctic Monkeys,Do I Wanna Know?,48,6935428
45,"ACRAZE, Cherish",Do It To It,40,5737695
46,Central Cee,Doja,3,17262833
47,Dua Lipa,Don't Start Now,145,6441943
48,Taylor Swift,Don’t Blame Me,13,7430694
49,Bad Bunny,Dos Mil 16,14,7762591
50,BTS,Dynamite,103,6634310
51,"Bad Bunny, Jhay Cortez",DÁKITI,93,6253074
52,"Beyoncé, BEAM",ENERGY (feat. Beam),2,6095132
53,Adele,Easy On Me,43,7866750
54,Bad Bunny,Efecto,14,26359490
55,"Grupo Marca Registrada, Junior H",El Rescate,3,6752986
56,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,41,10308783
57,Anitta,Envolver,23,7205759
58,The Police,Every Breath You Take,61,7325847
59,Tears For Fears,Everybody Wants To Rule The World,10,7446611
60,"James Hype, Miggy Dela Rosa",Ferrari,10,12308447
61,Jack Harlow,First Class,18,11457282
62,Danny Ocean,Fuera del mercado,21,6569363
63,Duki,GIVENCHY,3,9461003
64,"Coolio, L.V.",Gangsta's Paradise,42,5980372
65,Justin Bieber,Ghost,47,12221064
66,Joji,Glimpse of Us,9,25333978
67,Billie Eilish,Happier Than Ever,54,8116055
68,Kanye West,Heartless,1,5744785
69,Glass Animals,Heat Waves,85,20321676
70,Conan Gray,Heather,107,6281646
71,Panic! At The Disco,House of Memories,16,6074166
72,OneRepublic,I Ain't Worried,10,19361468
73,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),10,14133871
74,The Walters,I Love You So,44,7687476
75,Arctic Monkeys,I Wanna Be Yours,5,7515171
76,"The Weeknd, Gesaffelstein",I Was Never There,10,8862256
77,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),55,9953225
78,Benson Boone,In The Stars,15,7294666
79,Jaymes Young,Infinity,41,5974347
80,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),8,13188576
81,"Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",4,10934301
